[PARK] Plate number: VTI-7957 | Position: (3, 14)
[PARK] Plate number: XAD-4950 | Position: (3, 13)
[PARK] Plate number: OUW-6933 | Position: (3, 12)
[PARK] Plate number: DNR-4627 | Position: (3, 11)
[RETRIEVE] Plate number: VTI-7957 | Position: (3, 14)
[PARK] Plate number: BEE-8443 | Position: (3, 14)
[PARK] Plate number: PAU-8797 | Position: (3, 10)
[PARK] Plate number: KMS-7042 | Position: (3, 9)
[PARK] Plate number: YEN-6912 | Position: (3, 8)
[PARK] Plate number: QEL-4205 | Position: (3, 7)
[PARK] Plate number: WTF-6465 | Position: (3, 6)
[PARK] Plate number: YPP-9446 | Position: (3, 5)
[PARK] Plate number: EEV-8569 | Position: (3, 4)
[PARK] Plate number: QNY-0015 | Position: (3, 3)
[PARK] Plate number: NUE-4825 | Position: (3, 2)
[PARK] Plate number: QCY-2791 | Position: (3, 1)
[PARK] Plate number: YFS-0128 | Position: (3, 0)
[PARK] Plate number: JCO-2615 | Position: (2, 14)
[PARK] Plate number: WGD-2655 | Position: (2, 13)
[PARK] Plate number: BGT-8964 | Position: (2, 12)
[PARK] Plate number: QTN-7030 | Position: (2, 11)
[PARK] Plate number: UFZ-2636 | Position: (2, 10)
[PARK] Plate number: QEQ-0500 | Position: (2, 9)
[PARK] Plate number: BZN-1675 | Position: (2, 8)
[PARK] Plate number: KLX-1645 | Position: (2, 7)
[PARK] Plate number: AKB-7624 | Position: (2, 6)
[PARK] Plate number: FXR-4251 | Position: (2, 5)
[PARK] Plate number: HKT-9483 | Position: (2, 4)
[PARK] Plate number: DTV-6188 | Position: (2, 3)
[PARK] Plate number: HRP-1471 | Position: (2, 2)
[PARK] Plate number: ELG-9298 | Position: (2, 1)
[PARK] Plate number: NNH-6262 | Position: (2, 0)
[PARK] Plate number: MVR-3690 | Position: (1, 14)
[PARK] Plate number: CZE-4801 | Position: (1, 13)
[PARK] Plate number: BXU-0693 | Position: (1, 12)
[PARK] Plate number: HFU-8735 | Position: (1, 11)
[PARK] Plate number: OOZ-5974 | Position: (1, 10)
[PARK] Plate number: BXV-2748 | Position: (1, 9)
[PARK] Plate number: YKZ-1726 | Position: (1, 8)
[PARK] Plate number: TBO-2788 | Position: (1, 7)
[PARK] Plate number: IXS-4092 | Position: (1, 6)
[PARK] Plate number: ALE-5473 | Position: (1, 5)
[PARK] Plate number: XYW-4710 | Position: (1, 4)
[PARK] Plate number: JTY-6979 | Position: (1, 3)
[PARK] Plate number: PBC-1135 | Position: (1, 2)
[PARK] Plate number: VQG-9087 | Position: (1, 1)
[PARK] Plate number: CLG-7763 | Position: (1, 0)
[PARK] Plate number: AGD-1230 | Position: (0, 14)
[PARK] Plate number: XSM-9680 | Position: (0, 13)
[PARK] Plate number: FOX-8859 | Position: (0, 12)
[PARK] Plate number: NLV-1669 | Position: (0, 11)
[PARK] Plate number: FYC-6999 | Position: (0, 10)
[PARK] Plate number: OOU-7717 | Position: (0, 9)
[PARK] Plate number: ZFS-8261 | Position: (0, 8)
[PARK] Plate number: RJJ-6080 | Position: (0, 7)
[PARK] Plate number: MGR-0020 | Position: (0, 6)
[PARK] Plate number: PQW-0196 | Position: (0, 5)
[PARK] Plate number: XHW-5387 | Position: (0, 4)
[PARK] Plate number: GZI-6383 | Position: (0, 3)
[PARK] Plate number: EXI-5608 | Position: (0, 2)
[PARK] Plate number: WCH-5318 | Position: (0, 1)
[PARK] Plate number: ERP-8525 | Position: (0, 0)
[QUEUE] Plate number: ZEM-9044
[QUEUE] Plate number: AJH-4792
[QUEUE] Plate number: CDL-6280
[QUEUE] Plate number: IVQ-8870
